Section,Filter / Category,Recipe Name,Region / Cuisine,Key Ingredients,Launch Notes,Suggested Tags
Cuisine,Caribbean,Rice and Peas,Caribbean,"rice, beans, coconut",Useful cuisine browsing,caribbean
Cuisine,Caribbean,Curry Goat,Jamaican,"goat, curry spices",Useful cuisine browsing,caribbean
Cuisine,Caribbean,Ackee and Saltfish,Jamaican,"ackee, saltfish",Useful cuisine browsing,caribbean
Cuisine,Caribbean,Plantain Chips,Caribbean,"plantain, salt",Useful cuisine browsing,caribbean
Cuisine,American,Cheeseburger,American,"beef, cheese, bun",Useful cuisine browsing,american
Cuisine,American,Mac and Cheese,American,"pasta, cheese",Useful cuisine browsing,american
Cuisine,American,BBQ Ribs,American,"pork ribs, BBQ sauce",Useful cuisine browsing,american
Cuisine,American,Apple Pie,American,"apples, pastry",Useful cuisine browsing,american
Cuisine,American,Buffalo Wings,American,"chicken, hot sauce",Useful cuisine browsing,american
Health / Goal,High Protein,Grilled Chicken Bowl,Global,"chicken, rice, veg",Fitness-friendly,high protein
Health / Goal,High Protein,Tuna Salad,Global,"tuna, greens",Fitness-friendly,high protein
Health / Goal,High Protein,Greek Yogurt Parfait,Global,"yogurt, berries",Fitness-friendly,high protein
Health / Goal,High Protein,Turkey Meatballs,Italian/American,"turkey, tomato",Fitness-friendly,high protein
Health / Goal,High Protein,Tofu Stir Fry,Asian,"tofu, vegetables",Fitness-friendly,high protein
Health / Goal,Low Calorie,Vegetable Soup,Global,"vegetables, stock",Light meals,low calorie
Health / Goal,Low Calorie,Grilled Fish Salad,Global,"fish, salad",Light meals,low calorie
Health / Goal,Low Calorie,Zucchini Noodles,Modern,"courgette, tomato",Light meals,low calorie
Health / Goal,Low Calorie,Chicken Lettuce Wraps,Asian,"chicken, lettuce",Light meals,low calorie
Health / Goal,Low Calorie,Miso Soup,Japanese,"miso, seaweed",Light meals,low calorie
Health / Goal,Low Carb,Cauliflower Fried Rice,Modern,"cauliflower, egg",Carb-conscious,low carb
Health / Goal,Low Carb,Bunless Burger Bowl,American,"beef, salad",Carb-conscious,low carb
Health / Goal,Low Carb,Zucchini Lasagna,Italian/Modern,"courgette, cheese",Carb-conscious,low carb
Health / Goal,Low Carb,Grilled Salmon with Greens,Global,"salmon, greens",Carb-conscious,low carb
Health / Goal,Low Carb,Egg Muffins,Global,"eggs, vegetables",Carb-conscious,low carb
Health / Goal,Keto,Keto Butter Chicken,Indian/Modern,"chicken, cream",Special diet; verify macros,keto
Health / Goal,Keto,Cauliflower Mac and Cheese,Modern,"cauliflower, cheese",Special diet; verify macros,keto
Health / Goal,Keto,Avocado Egg Salad,Global,"avocado, eggs",Special diet; verify macros,keto
Health / Goal,Keto,Keto Pizza Bowl,Modern,"cheese, tomato, toppings",Special diet; verify macros,keto
Health / Goal,Keto,Garlic Butter Steak Bites,Global,"steak, butter",Special diet; verify macros,keto
Health / Goal,Diabetic Friendly,Lentil Soup,Global,"lentils, vegetables",Avoid medical claims; label cautiously,diabetic friendly
Health / Goal,Diabetic Friendly,Grilled Chicken Salad,Global,"chicken, greens",Avoid medical claims; label cautiously,diabetic friendly
Health / Goal,Diabetic Friendly,Vegetable Omelette,Global,"eggs, vegetables",Avoid medical claims; label cautiously,diabetic friendly
Health / Goal,Diabetic Friendly,Chickpea Cucumber Salad,Mediterranean,"chickpeas, cucumber",Avoid medical claims; label cautiously,diabetic friendly
Health / Goal,Diabetic Friendly,Baked Salmon,Global,"salmon, herbs",Avoid medical claims; label cautiously,diabetic friendly
Health / Goal,Kids Friendly,Mac and Cheese,American,"pasta, cheese",Family content,kids friendly
Health / Goal,Kids Friendly,Mini Pizza Muffins,Global,"bread, tomato, cheese",Family content,kids friendly
Health / Goal,Kids Friendly,Chicken Nuggets,American,"chicken, breadcrumbs",Family content,kids friendly
Health / Goal,Kids Friendly,Banana Pancakes,Global,"banana, eggs/flour",Family content,kids friendly
Health / Goal,Kids Friendly,Hidden Veg Pasta,Global,"pasta, vegetables",Family content,kids friendly
Health / Goal,Pregnancy Friendly,Vegetable Khichdi,Indian,"rice, lentils",Add disclaimers; avoid medical advice,pregnancy friendly
Health / Goal,Pregnancy Friendly,Baked Salmon Bowl,Global,"salmon, rice",Add disclaimers; avoid medical advice,pregnancy friendly
Health / Goal,Pregnancy Friendly,Spinach Lentil Soup,Global,"spinach, lentils",Add disclaimers; avoid medical advice,pregnancy friendly
Health / Goal,Pregnancy Friendly,Greek Yogurt Fruit Bowl,Global,"yogurt, fruit",Add disclaimers; avoid medical advice,pregnancy friendly
Health / Goal,Pregnancy Friendly,Chicken and Rice Soup,Global,"chicken, rice",Add disclaimers; avoid medical advice,pregnancy friendly
Budget,Budget Friendly,Dal Tadka,Indian,"lentils, spices",Low-cost staples,budget
Budget,Budget Friendly,Egg Fried Rice,Chinese,"rice, egg",Low-cost staples,budget
Budget,Budget Friendly,Pasta Pomodoro,Italian,"pasta, tomato",Low-cost staples,budget
Budget,Budget Friendly,Bean Chilli,Tex-Mex,"beans, tomato",Low-cost staples,budget
Budget,Budget Friendly,Potato Curry,Indian,"potatoes, spices",Low-cost staples,budget
Budget,Everyday,Chicken Curry,Global/Indian,"chicken, spices",Normal home cooking,everyday
Budget,Everyday,Vegetable Stir Fry,Asian,"vegetables, sauce",Normal home cooking,everyday
Budget,Everyday,Tuna Pasta Bake,British,"tuna, pasta",Normal home cooking,everyday
Budget,Everyday,Turkey Wrap,Global,"turkey, tortilla",Normal home cooking,everyday
Budget,Everyday,Paneer Pulao,Indian,"paneer, rice",Normal home cooking,everyday
Budget,Premium,Steak with Peppercorn Sauce,French/Global,"steak, cream",Premium ingredients,premium
Budget,Premium,Seafood Linguine,Italian,"pasta, seafood",Premium ingredients,premium
Budget,Premium,Lamb Chops,Mediterranean,"lamb, herbs",Premium ingredients,premium
Budget,Premium,Saffron Risotto,Italian,"rice, saffron",Premium ingredients,premium
Budget,Premium,Duck à l’Orange,French,"duck, orange",Premium ingredients,premium
Budget,Luxury,Lobster Thermidor,French,"lobster, cheese sauce",Special occasion recipes,luxury
Budget,Luxury,Beef Wellington,British,"beef fillet, pastry",Special occasion recipes,luxury
Budget,Luxury,Truffle Pasta,Italian,"pasta, truffle",Special occasion recipes,luxury
Budget,Luxury,Caviar Blini,Russian/French,"blini, caviar",Special occasion recipes,luxury
Budget,Luxury,Wagyu Steak,Japanese/Global,"wagyu, salt",Special occasion recipes,luxury
Cooking Method,No Cook,Greek Salad,Greek,"feta, cucumber",No heat required,no cook
Cooking Method,No Cook,Caprese Salad,Italian,"tomato, mozzarella",No heat required,no cook
Cooking Method,No Cook,Overnight Oats,Global,"oats, milk",No heat required,no cook
Cooking Method,No Cook,Hummus Plate,Middle Eastern,"hummus, vegetables",No heat required,no cook
Cooking Method,No Cook,Tuna Lettuce Cups,Global,"tuna, lettuce",No heat required,no cook
Cooking Method,Air Fryer,Air Fryer Chips,Global,potatoes,Modern appliance search,air fryer
Cooking Method,Air Fryer,Air Fryer Chicken Wings,American,chicken wings,Modern appliance search,air fryer
Cooking Method,Air Fryer,Air Fryer Samosas,Indian,"pastry, potato",Modern appliance search,air fryer
Cooking Method,Air Fryer,Air Fryer Salmon,Global,salmon,Modern appliance search,air fryer
Cooking Method,Air Fryer,Air Fryer Falafel,Middle Eastern,chickpeas,Modern appliance search,air fryer
Cooking Method,Oven Baked,Baked Ziti,Italian/American,"pasta, cheese",Reliable home method,oven baked
Cooking Method,Oven Baked,Roast Chicken,European,chicken,Reliable home method,oven baked
Cooking Method,Oven Baked,Baked Salmon,Global,salmon,Reliable home method,oven baked
Cooking Method,Oven Baked,Lasagna,Italian,"pasta, sauce",Reliable home method,oven baked
Cooking Method,Oven Baked,Apple Crumble,British,"apples, oats",Reliable home method,oven baked
Cooking Method,Grill / BBQ,BBQ Ribs,American,"ribs, sauce",Summer/social food,grill
Cooking Method,Grill / BBQ,Grilled Halloumi,Mediterranean,halloumi,Summer/social food,grill
Cooking Method,Grill / BBQ,Tandoori Chicken,Indian,"chicken, yogurt",Summer/social food,grill
Cooking Method,Grill / BBQ,Grilled Corn,Mexican/Global,"corn, spices",Summer/social food,grill
Cooking Method,Grill / BBQ,Seekh Kebabs,South Asian,"minced meat, spices",Summer/social food,grill
Cooking Method,One Pot,One Pot Pasta,Italian/Global,"pasta, tomato",Convenience category,one pot
Cooking Method,One Pot,Chicken Pulao,Indian,"rice, chicken",Convenience category,one pot
Cooking Method,One Pot,Jambalaya,Cajun,"rice, sausage",Convenience category,one pot
Cooking Method,One Pot,Lentil Stew,Global,"lentils, vegetables",Convenience category,one pot
Cooking Method,One Pot,Khichdi,Indian,"rice, lentils",Convenience category,one pot
Cooking Method,Slow Cooker,Slow Cooker Pulled Pork,American,"pork, BBQ sauce",Set-and-forget meals,slow cooker
Cooking Method,Slow Cooker,Slow Cooker Beef Stew,Global,"beef, vegetables",Set-and-forget meals,slow cooker
Cooking Method,Slow Cooker,Slow Cooker Dal,Indian,"lentils, spices",Set-and-forget meals,slow cooker
Cooking Method,Slow Cooker,Slow Cooker Chilli,Tex-Mex,beef/beans,Set-and-forget meals,slow cooker
Cooking Method,Slow Cooker,Slow Cooker Lamb Shank,Mediterranean,"lamb, stock",Set-and-forget meals,slow cooker
Taste / Style,Spicy,Vindaloo,Goan,"meat, vinegar, chilli",Heat-seeking users,spicy
Taste / Style,Spicy,Mapo Tofu,Sichuan,"tofu, chilli",Heat-seeking users,spicy
Taste / Style,Spicy,Jerk Chicken,Jamaican,"chicken, Scotch bonnet",Heat-seeking users,spicy
Taste / Style,Spicy,Arrabbiata Pasta,Italian,"pasta, chilli",Heat-seeking users,spicy
Taste / Style,Spicy,Tteokbokki,Korean,"rice cakes, gochujang",Heat-seeking users,spicy
Taste / Style,Mild,Chicken Korma,Indian/British,"chicken, yogurt",Family-friendly mild food,mild
Taste / Style,Mild,Creamy Mushroom Pasta,Italian/Global,"mushrooms, cream",Family-friendly mild food,mild
Taste / Style,Mild,Chicken Noodle Soup,American,"chicken, noodles",Family-friendly mild food,mild
Taste / Style,Mild,Vegetable Risotto,Italian,"rice, vegetables",Family-friendly mild food,mild
Taste / Style,Mild,Mashed Potato Pie,British,"potato, filling",Family-friendly mild food,mild
Taste / Style,Sweet,Chocolate Cake,Global,"chocolate, flour",Sweet filter,sweet
Taste / Style,Sweet,Gulab Jamun,Indian,"milk solids, syrup",Sweet filter,sweet
Taste / Style,Sweet,Mango Sticky Rice,Thai,"mango, coconut rice",Sweet filter,sweet
Taste / Style,Sweet,Apple Pie,American,"apples, pastry",Sweet filter,sweet
Taste / Style,Sweet,Baklava,Middle Eastern,"filo, nuts",Sweet filter,sweet
Taste / Style,Savory,Beef Empanadas,Latin American,"beef, pastry",Savory cravings,savory
Taste / Style,Savory,Cheese Soufflé,French,"cheese, eggs",Savory cravings,savory
Taste / Style,Savory,Samosa,Indian,"potato, pastry",Savory cravings,savory
Taste / Style,Savory,Ramen,Japanese,"noodles, broth",Savory cravings,savory
Taste / Style,Savory,Mushroom Pie,British,"mushrooms, pastry",Savory cravings,savory
Taste / Style,Tangy,Pani Puri,Indian,"tamarind, mint",Fresh acidic flavors,tangy
Taste / Style,Tangy,Ceviche,Peruvian,"fish, lime",Fresh acidic flavors,tangy
Taste / Style,Tangy,Greek Lemon Potatoes,Greek,"potato, lemon",Fresh acidic flavors,tangy
Taste / Style,Tangy,Tom Yum Soup,Thai,"lemongrass, lime",Fresh acidic flavors,tangy
Taste / Style,Tangy,Pickled Cucumber Salad,Asian/Global,"cucumber, vinegar",Fresh acidic flavors,tangy
Taste / Style,Creamy,Butter Chicken,Indian,"cream, tomato",Comfort category,creamy
Taste / Style,Creamy,Fettuccine Alfredo,Italian/American,"cream, parmesan",Comfort category,creamy
Taste / Style,Creamy,Clam Chowder,American,"clams, cream",Comfort category,creamy
Taste / Style,Creamy,Mushroom Risotto,Italian,"rice, mushrooms",Comfort category,creamy
Taste / Style,Creamy,Malai Kofta,Indian,"kofta, creamy sauce",Comfort category,creamy
Taste / Style,Crispy,Fried Chicken,American,"chicken, coating",Great video texture moments,crispy
Taste / Style,Crispy,Tempura,Japanese,"seafood/veg, batter",Great video texture moments,crispy
Taste / Style,Crispy,Pakora,Indian,"gram flour, vegetables",Great video texture moments,crispy
Taste / Style,Crispy,Fish and Chips,British,"fish, potatoes",Great video texture moments,crispy
Taste / Style,Crispy,Spring Rolls,Chinese/Vietnamese,"wrapper, vegetables",Great video texture moments,crispy
Taste / Style,Comfort Food,Mac and Cheese,American,"pasta, cheese",Emotional food category,comfort food
Taste / Style,Comfort Food,Shepherd’s Pie,British,"mince, potato",Emotional food category,comfort food
Taste / Style,Comfort Food,Khichdi,Indian,"rice, lentils",Emotional food category,comfort food
Taste / Style,Comfort Food,Chicken Pot Pie,American,"chicken, pastry",Emotional food category,comfort food
Taste / Style,Comfort Food,Ramen,Japanese,"noodles, broth",Emotional food category,comfort food
Taste / Style,Street Food,Tacos al Pastor,Mexican,"pork, tortilla",Viral-style category,street food
Taste / Style,Street Food,Pani Puri,Indian,"puri, tamarind water",Viral-style category,street food
Taste / Style,Street Food,Falafel Wrap,Middle Eastern,"falafel, pita",Viral-style category,street food
Taste / Style,Street Food,Hot Dog,American,"sausage, bun",Viral-style category,street food
Taste / Style,Street Food,Bánh Mì,Vietnamese,"baguette, pickles, meat",Viral-style category,street food
Taste / Style,Festive,Turkey Roast,American/British,"turkey, herbs",Seasonal content,festive
Taste / Style,Festive,Biryani,South Asian,"rice, meat/veg",Seasonal content,festive
Taste / Style,Festive,Mooncakes,Chinese,"pastry, filling",Seasonal content,festive
Taste / Style,Festive,Panettone,Italian,sweet bread,Seasonal content,festive
Taste / Style,Festive,Kheer,Indian,"rice, milk",Seasonal content,festive
